Folder Name,Song Name,Artist,Album,Year,Charter,Diff Band,Diff Guitar,Diff Bass,Diff Drums,Diff Keys,Diff Vocals,Diff Pro Guitar,Diff Pro Bass,Diff Pro Keys,Diff Pro Drums,Diff Vocal Harmonies,Has Pro Guitar,Has Pro Keys,Has Pro Drums,Has Vocal Harmonies,Audio Tracks,Guitar Tuning,Bass Tuning,S.SterrGtuning,S.SterrBtuning,S.SterrStatus
311 - Amber,Amber,311,From Chaos,2001,Harmonix,2,2,2,3,3,2,-1,-1,3,3,-1,FALSE,TRUE,TRUE,FALSE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0 0,matched
311 - Beautiful Disaster,Beautiful Disaster,311,Transistor,1997,Harmonix,1,3,3,4,0,1,-1,-1,0,4,-1,FALSE,TRUE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
311 - Down,Down,311,311,1995,Harmonix,2,3,2,4,-1,1,3,2,-1,4,-1,TRUE,FALSE,TRUE,FALSE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
38 Special - Hold On Loosely,Hold On Loosely,.38 Special,Wild-Eyed Southern Boys,1981,Harmonix,3,5,3,2,1,3,4,5,1,2,3,TRUE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
3 Doors Down - Here Without You,Here Without You,3 Doors Down,Away from the Sun,2002,Harmonix,1,3,0,2,2,3,-1,-1,2,2,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-1 -1 -1 -1 -1 -1,-1 -1 -1 -1,matched
3 Doors Down - When I'm Gone,When I'm Gone,3 Doors Down,Away from the Sun,2002,Harmonix,1,3,2,2,-1,2,2,2,-1,2,2,TRUE,FALSE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
3 Doors Down - When You're Young,When You're Young,3 Doors Down,Time of My Life,2011,Harmonix,1,2,1,2,1,3,-1,-1,2,2,3,FALSE,TRUE,TRUE,TRUE,"drums_1.ogg, drums_2.ogg, drums_3.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Aerosmith - Back in the Saddle,Back in the Saddle,Aerosmith,Aerosmith's Greatest Hits,1976,Harmonix,4,4,4,2,-1,4,-1,-1,-1,2,4,FALSE,FALSE,TRUE,TRUE,"drums.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,-1 -1 -1 -1 -1 -1,-1 -1 -1 -1,matched
Aerosmith - Dream On (Live),Dream On (Live),Aerosmith,Live from the Vault,1973,Harmonix,1,2,1,1,1,4,4,2,1,1,-1,TRUE,TRUE,TRUE,FALSE,"drums.ogg, guitar.ogg, keys.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Aerosmith - Legendary Child,Legendary Child,Aerosmith,Music from Another Dimension!,2012,Harmonix,3,3,4,3,-1,3,-1,-1,1,3,3,FALSE,TRUE,TRUE,TRUE,"drums.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
Aerosmith - Lover Alot,Lover Alot,Aerosmith,Music from Another Dimension!,2012,Harmonix,2,3,1,3,-1,3,-1,-1,1,3,3,FALSE,TRUE,TRUE,TRUE,"drums.ogg, guitar.ogg, rhythm.ogg, song.ogg, vocals.ogg",0 0 0 0 0 0,0 0 0 0,0 0 0 0 0 0,0 0 0 0,matched
