Song Name,Guitar Tuning,Bass Tuning
"5minutesalone","0 0 0 0 0 0","0 0 0 0"
"jenny","0 0 0 0 0 0","0 0 0 0"
"aerials","-2 0 0 0 0 0","-2 0 0 0"
"allalongthewatchtower","0 0 0 0 0 0","0 0 0 0"
"animallive2","0 0 0 0 0 0","0 0 0 0"
"audienceofone","0 0 0 0 0 0","0 0 0 0"
"badmoonrising","0 0 0 0 0 0","0 0 0 0"
"barracuda","0 0 0 0 0 0","0 0 0 0"
"bicyclerace","0 0 0 0 0 0","0 0 0 0"
"bigbangbaby","0 0 0 0 0 0","0 0 0 0"
"bigshot","0 0 0 0 0 0","0 0 0 0"
"blackmagicwoman","0 0 0 0 0 0","0 0 0 0"
"bloodandthunder","0 0 0 0 0 0","0 0 0 0"
"bluemonday","0 0 0 0 0 0","0 0 0 0"
"breath","-2 0 0 0 0 0","-2 0 0 0"
"breed","0 0 0 0 0 0","0 0 0 0"
"bringinontheheartbreak","0 0 0 0 0 0","0 0 0 0"
"burdeninmyhand","-4 -2 -2 0 -4 0","-4 -2 -2 0"
"burningdownthehouse","0 0 0 0 0 0","0 0 0 0"
"bytheway","0 0 0 0 0 0","-2 0 0 0"
"californication","0 0 0 0 0 0","0 0 0 0"
"cantgetenough","0 -2 0 0 0 0","0 0 0 0"
"citiesindust","0 0 0 0 0 0","0 0 0 0"
"clampdown","0 0 0 0 0 0","0 0 0 0"
"clocks","0 0 0 0 0 0","0 0 0 0"
"comeasyouarelive","0 0 0 0 0 0","0 0 0 0"
"deadleavesdirtyground","0 0 0 0 0 0","0 0 0 0"
"dismoi","0 0 0 0 0 0","0 0 0 0"
"dreams","0 0 0 0 0 0","0 0 0 0"
"edgeof17","0 0 0 0 0 0","0 0 0 0"
"evenflow","-2 0 0 0 0 0","-2 0 0 0"
"everybreathyoutake","0 0 0 0 0 0","0 0 0 0"
"fatlip","-2 0 0 0 0 0","-2 0 0 0"
"flybynight","0 0 0 0 0 0","0 0 0 0"
"fortunateson2","0 0 0 0 0 0","0 0 0 0"
"forwhatitsworth","0 0 0 0 0 0","0 0 0 0"
"frankenstein","0 0 0 0 0 0","0 0 0 0"
"freedom","0 0 0 0 0 0","0 0 0 0"
"freezeframe","0 0 0 0 0 0","0 0 0 0"
"funk49","0 0 0 0 0 0","0 0 0 0"
"hammertofall","0 0 0 0 0 0","0 0 0 0"
"hashpipe","0 0 0 0 0 0","0 0 0 0"
"haveyoueverseen","0 0 0 0 0 0","0 0 0 0"
"headlikeahole","0 0 0 0 0 0","0 0 0 0"
"heartshapedbox","-2 0 0 0 0 0","-2 0 0 0"
"holdonloosely","0 0 0 0 0 0","0 0 0 0"
"howdoyousleep","0 0 0 0 0 0","0 0 0 0"
"howyouremindme","-2 0 0 0 0 0","-2 0 0 0"
"ialone","0 0 0 0 0 0","0 0 0 0"
"ibelieveinathingcalled","0 0 0 0 0 0","0 0 0 0"
"insideout","0 0 0 0 0 0","0 0 0 0"
"intheend_linkin2","-2 0 0 0 0 0","0 0 0 0"
"iveseenallgoodpeople","0 0 0 0 0 0","0 0 0 0"
"iwalktheline","0 0 0 0 0 0","0 0 0 0"
"iwantitall","0 0 0 0 0 0","0 0 0 0"
"iwantitall2","0 0 0 0 0 0","0 0 0 0"
"iwanttobreakfree","0 0 0 0 0 0","0 0 0 0"
"iwritesins","-2 0 0 0 0 0","-2 0 0 0"
"jerkitout","0 0 0 0 0 0","0 0 0 0"
"keepyourselfalive","0 0 0 0 0 0","0 0 0 0"
"kickstartmyheart","0 0 0 0 0 0","0 0 0 0"
"killerqueen","0 0 0 0 0 0","0 0 0 0"
"letmerollit","0 0 0 0 0 0","0 0 0 0"
"lithiumlive","0 0 0 0 0 0","0 0 0 0"
"littlewing","0 0 0 0 0 0","0 0 0 0"
"livinonaprayer2","0 0 0 0 0 0","0 0 0 0"
"londoncalling","0 0 0 0 0 0","0 0 0 0"
"loungeact","0 0 0 0 0 0","0 0 0 0"
"loverollercoaster","0 0 0 0 0 0","0 0 0 0"
"lovewilltearusapart","-2 0 0 0 0 0","0 0 0 0"
"modernlove","0 0 0 0 0 0","0 0 0 0"
"monkeywrench","-2 0 0 0 0 0","-2 0 0 0"
"morethanafeeling","0 0 0 0 0 0","0 0 0 0"
"movinout","0 0 0 0 0 0","0 0 0 0"
"mysharona","0 0 0 0 0 0","0 0 0 0"
"nookie2","-7 0 0 0 0 0","0 0 0 0"
"nothinbutagoodtime","0 0 0 0 0 0","0 0 0 0"
"nowimhere","0 0 0 0 0 0","0 0 0 0"
"onaplain","-2 0 0 0 0 0","-2 0 0 0"
"onevision","0 0 0 0 0 0","0 0 0 0"
"onlythegooddieyoung","0 0 0 0 0 0","0 0 0 0"
"onlythelonely","0 0 0 0 0 0","0 0 0 0"
"onthebacksofangels","0 0 0 0 0 0","0 0 0 0"
"otherside","0 0 0 0 0 0","0 0 0 0"
"outshined","-2 0 0 0 0 0","-2 0 0 0"
"ownerofalonelyheart","0 0 0 0 0 0","0 0 0 0"
"pain2","-2 0 0 0 0 0","-2 0 0 0"
"panic","0 0 0 0 0 0","0 0 0 0"
"pardonme","0 0 0 0 0 0","0 0 0 0"
"personaljesus","0 0 0 0 0 0","0 0 0 0"
"photograph2","0 0 0 0 0 0","0 0 0 0"
"playthegame","0 0 0 0 0 0","0 0 0 0"
"polly","0 0 0 0 0 0","0 0 0 0"
"poursomesugarlive","0 0 0 0 0 0","0 0 0 0"
"angryyoungman","0 0 0 0 0 0","0 0 0 0"
"prettynoose","-4 -2 -2 0 -4 0","-4 -2 -2 0"
"prideandjoy","0 0 0 0 0 0","0 0 0 0"
"privateeyes","0 0 0 0 0 0","0 0 0 0"
"purplehaze","0 0 0 0 0 0","0 0 0 0"
"rideadkins2","0 0 0 0 0 0","0 0 0 0"
"rockandrollallnitelive","0 0 0 0 0 0","0 0 0 0"
"rockofages","0 0 0 0 0 0","0 0 0 0"
"rockthecasbah","0 0 0 0 0 0","0 0 0 0"
"rooster","0 0 0 0 0 0","0 0 0 0"
"rope","0 0 0 0 0 0","0 0 0 0"
"rudiecantfail","0 0 0 0 0 0","0 0 0 0"
"runaway","0 0 0 0 0 0","0 0 0 0"
"santamonica","0 0 0 0 0 0","0 0 0 0"
"saturdaynightspecial","0 0 0 0 0 0","0 0 0 0"
"sayyoullhauntme","-2 0 0 0 0 0","0 0 0 0"
"selfesteem","0 0 0 0 0 0","0 0 0 0"
"shehatesme","0 0 0 0 0 0","0 0 0 0"
"simpleman","0 0 0 0 0 0","0 0 0 0"
